"ID";"UTR3_length";"ARE_counts"
"AGTRAP";464,8;0
"AGXT";1679;3
"AGXT2";477,666666666667;0
"AHCTF1";1708;8
"AHCY";765;0
"AHCYL1";1610,66666666667;4
"AHCYL2";1657;5
"AHDC1";593;2
"AHI1";1520,5;7
"AHNAK";590;1
"AHNAK2";810;0
"AHR";2387;9
"AHRR";1740;2
"AHSA1";223;1
"AHSG";379;0
"AHSP";112;0
"AICDA";1067;3
"AIDA";1880;6
"AIF1";118;0
"AIF1L";2849,33333333333;2
"AIFM1";622,4;0
"AIFM2";1748,33333333333;2
"AIFM3";328,5;0
"AIG1";2459;8
"AIM2";208;1
"AIMP1";867,416666666667;5
"AIMP2";67,6666666666667;1
"AIP";110;1
"AIPL1";705,571428571429;1
"AIRE";921;1
"AJAP1";5251;7
"AJM1";1456;0
"AJUBA";1591,33333333333;7
"AK1";512,666666666667;1
"AK2";1993,83333333333;3
"AK3";1942,25;6
"AK4";4654,5;9
"AK5";1294;1
"AK6";706;1
"AK7";1084;5
"AK8";110;0
"AK9";865,5;3
"AKAIN1";1464;6
"AKAP1";513,2;1
"AKAP10";972,5;3
"AKAP11";4033;21
"AKAP12";1654,33333333333;7
"AKAP13";3430,66666666667;4
"AKAP14";95;1
"AKAP17A";926;0
"AKAP3";226;0
"AKAP4";183;0
"AKAP5";2427;10
"AKAP6";7879;35
"AKAP7";1276,33333333333;4
"AKAP8";1530;2
"AKAP8L";72;0
"AKAP9";514;2
"AKIP1";521,8;0
"AKIRIN1";1355;1
"AKIRIN2";737;3
"AKNA";1912,5;2
"AKNAD1";270;2
"AKR1A1";92,6666666666667;0
"AKR1B1";372;0
"AKR1B10";323;2
"AKR1B15";170;0
"AKR1C1";5541;10
"AKR1C2";1219;4
"AKR1C3";101,5;0
"AKR1C4";189;0
"AKR1D1";1081;2
"AKR1E2";320,666666666667;1
"AKR7A2";260;0
"AKR7A3";158;1
"AKR7L";197;1
"AKT1";846,428571428571;2
"AKT1S1";876,833333333333;1
"AKT2";2380;2
"AKT3";2825,5;9
"AKTIP";837,333333333333;5
"ALAD";1988;3
"ALAS1";114,5;0
"ALAS2";113,666666666667;0
"ALB";414;1
"ALCAM";2429,5;9
"ALDH16A1";350,5;0
"ALDH18A1";819;2
"ALDH1A1";537;2
"ALDH1A2";1334,25;6
"ALDH1A3";1853;4
"ALDH1B1";1359;2
"ALDH1L1";219,5;0
"ALDH1L2";4634;13
"ALDH2";4010;8
"ALDH3A1";234;0
"ALDH3A2";1556;2
"ALDH3B1";755;0
"ALDH3B2";1052;1
"ALDH4A1";835,5;0
"ALDH5A1";2043;5
"ALDH6A1";2021;4
"ALDH7A1";1746,5;2
"ALDH8A1";761;0
"ALDH9A1";834;1
"ALDOA";172,4;1
"ALDOB";598;1
"ALDOC";408,5;0
"ALG1";463,666666666667;1
"ALG10";1387;2
"ALG10B";4283;20
"ALG11";5010;13
"ALG12";3609;1
"ALG13";648,888888888889;4
"ALG14";8671;9
"ALG1L";77;0
"ALG2";1509;1
"ALG3";151;0
"ALG5";185,5;1
"ALG6";1533;4
"ALG8";102,333333333333;0
"ALG9";1142,25;3
"ALK";450;0
"ALKAL1";576;7
"ALKAL2";589;2
"ALKBH1";1408;4
"ALKBH2";65,5;0
"ALKBH3";264;0
"ALKBH4";1156;1
"ALKBH5";1558;1
"ALKBH6";125,5;1
"ALKBH7";277;0
"ALKBH8";671,666666666667;2
"ALLC";108;1
"ALMS1";308;0
"ALOX12";331;0
"ALOX12B";135;0
"ALOX15";397,5;0
"ALOX15B";378;0
"ALOX5";431;2
"ALOX5AP";319,5;0
"ALOXE3";489;0
"ALPG";842;0
"ALPI";1607;3
"ALPK1";964,5;2
"ALPK2";576;1
"ALPK3";5026;5
"ALPL";601;1
"ALPP";1094;0
"ALS2";1465;3
"ALS2CL";1204;1
"ALX1";309;2
"ALX3";863;0
"ALX4";4414;0
"ALYREF";296;1
"AMACR";1746,33333333333;5
"AMBN";558;6
"AMBP";112;0
"AMBRA1";1036;2
"AMD1";1663;5
"AMDHD1";877;6
"AMDHD2";729,666666666667;0
"AMELX";146,333333333333;0
"AMELY";151;0
"AMER1";4762;5
"AMER2";4216,5;12
"AMER3";1952;2
"AMFR";1457;2
"AMH";116;1
"AMHR2";166,666666666667;0
"AMIGO1";1808;2
"AMIGO2";1165,66666666667;6
"AMIGO3";1122;0
"AMMECR1";2864;9
"AMMECR1L";3460,5;4
"AMN";512;0
"AMN1";515,666666666667;2
"AMOT";2716;4
"AMOTL1";5953;7
"AMOTL2";1410,25;2
"AMPD1";14,5;0
"AMPD2";563,5;1
"AMPD3";972;2
"AMPH";1114;3
"AMT";660,5;0
"AMTN";163,5;1
"AMY1A";34;1
"AMY1B";32,5;1
"AMY1C";32;1
"AMY2A";32,5;1
"AMY2B";29,5;1
"AMZ1";2153;1
"AMZ2";171,571428571429;0
"ANAPC1";1651;4
"ANAPC10";506,25;1
"ANAPC11";284,733333333333;0
"ANAPC13";789,75;5
"ANAPC15";255,4;1
"ANAPC16";2742,66666666667;7
"ANAPC2";158;0
"ANAPC4";111,5;0
"ANAPC5";160,333333333333;0
"ANAPC7";914,5;1
"ANG";178;0
"ANGEL1";3060;6
"ANGEL2";2255,66666666667;6
"ANGPT1";1692,66666666667;8
"ANGPT2";1424,66666666667;8
"ANGPT4";3060;3
"ANGPTL1";1049,5;8
"ANGPTL2";1591;1
"ANGPTL3";1496;9
"ANGPTL4";451;0
"ANGPTL5";605;4
"ANGPTL6";249;0
"ANGPTL7";958;2
"ANGPTL8";256;0
"ANHX";573;0
"ANK1";1417,83333333333;1
"ANK2";1336,5;3
"ANK3";1299,5;6
"ANKAR";19,5;0
"ANKDD1A";1503;1
"ANKDD1B";1168;6
"ANKEF1";2643;10
"ANKFN1";99;0
"ANKFY1";2691,5;6
"ANKH";6397;15
"ANKHD1";217,25;1
"ANKHD1-EIF4EBP3";332;0
"ANKIB1";2434;10
"ANKK1";149;1
"ANKLE1";1094;0
"ANKLE2";1739;5
"ANKMY1";413,285714285714;1
"ANKMY2";982;4
"ANKRA2";607;2
"ANKRD1";770;4
"ANKRD10";777,5;2
"ANKRD11";684;1
"ANKRD12";3746;10
"ANKRD13A";2209;1
"ANKRD13B";816,666666666667;0
"ANKRD13C";3718;10
"ANKRD13D";152;3
"ANKRD16";417,333333333333;1
"ANKRD17";1315;6
"ANKRD18A";681;4
"ANKRD2";158;0
"ANKRD20A1";627;3
"ANKRD20A2P";1380;7
"ANKRD20A3P";1380;7
"ANKRD20A4P";1384;7
"ANKRD22";3045;11
"ANKRD23";1431;0
"ANKRD24";309;0
"ANKRD26";1292;7
"ANKRD27";1139;4
"ANKRD28";2431,66666666667;9
"ANKRD29";1533;1
"ANKRD30A";280;0
"ANKRD30BL";224;0
"ANKRD31";222;2
"ANKRD33";369,5;0
"ANKRD33B";7703;8
"ANKRD34A";828;1
"ANKRD34B";1720;7
"ANKRD34C";3343;6
"ANKRD35";247;0
"ANKRD36B";921,5;3
"ANKRD37";224;2
"ANKRD39";2348,5;3
"ANKRD40";2799;5
"ANKRD40CL";189;0
"ANKRD42";1109,83333333333;4
"ANKRD44";1632;4
"ANKRD45";1809;6
"ANKRD46";1542,5;5
"ANKRD49";1038;3
"ANKRD50";1814,5;5
"ANKRD52";5335;5
"ANKRD53";543;0
"ANKRD54";603;0
"ANKRD55";503;3
"ANKRD6";1393,6;3
"ANKRD60";20;0
"ANKRD61";166;0
"ANKRD62";1825;1
"ANKRD63";20;0
"ANKRD65";586;0
"ANKRD66";585;0
"ANKRD7";421;1
"ANKRD9";1774,33333333333;4
"ANKS1A";2797;2
"ANKS1B";760,3;2
"ANKS3";397,25;1
"ANKS4B";3030;3
"ANKS6";4510;3
"ANKUB1";525;0
"ANKZF1";220,666666666667;0
"ANLN";1191;6
"ANO1";1524;2
"ANO10";575,6;0
"ANO2";645;1
"ANO3";1610,5;4
"ANO4";779;2
"ANO5";3592;9
"ANO6";2253,75;5
"ANO7";1223;0
"ANO8";294;2
"ANO9";433;0
"ANOS1";4121;22
"ANP32A";1546;0
"ANP32B";512;1
"ANP32D";562;0
"ANP32E";1267,5;5
"ANPEP";454;0
"ANTKMT";24,5;0
"ANTXR1";1680,33333333333;3
"ANTXR2";2126,33333333333;6
"ANTXRL";45;0
"ANXA1";286;0
"ANXA10";302;1
"ANXA11";3905,25;5
"ANXA13";446;2
"ANXA2";346,25;1
"ANXA2R";308;2
"ANXA3";332;2
"ANXA4";931,5;3
"ANXA5";522;5
"ANXA6";540,5;0
"ANXA7";822;1
"ANXA8";852;0
"ANXA8L1";730,333333333333;0
"ANXA9";312;0
"AOAH";214,666666666667;0
"AOC1";241,25;0
"AOC2";357,5;1
"AOC3";1641,75;0
"AOPEP";367,333333333333;1
"AOX1";816;4
"AP1AR";2984,5;14
"AP1B1";854,6;0
"AP1G1";1968,66666666667;4
"AP1G2";183;0
"AP1M1";6191;9
"AP1M2";394,5;0
"AP1S1";471;0
"AP1S2";1519;5
"AP1S3";3389;7
"AP2A1";353;0
"AP2A2";1617;1
"AP2B1";1937;1
"AP2M1";357;0
"AP2S1";237,8;0
"AP3B1";1476,5;4
"AP3B2";841,2;3
"AP3D1";1185;2
"AP3M1";2200,5;4
"AP3M2";2121,66666666667;2
"AP3S1";370;1
"AP3S2";4916;2
"AP4B1";501,666666666667;1
"AP4E1";3232,5;8
"AP4M1";870,333333333333;0
"AP4S1";1888,42857142857;3
"AP5B1";3958;2
"AP5M1";9858;46
"AP5S1";2185,33333333333;2
"AP5Z1";3012;1
"APAF1";1813,71428571429;5
"APBA1";3795;5
"APBA2";941,2;2
"APBA3";254;0
"APBB1";315,111111111111;0
"APBB1IP";315;1
"APBB2";3037;11
"APBB3";239,75;2
"APC";2021,5;7
"APC2";3031;1
"APCDD1";1911;3
"APCDD1L";1689;4
"APCS";157;0
"APEH";629;0
"APELA";926,666666666667;3
"APEX1";260,666666666667;0
"APEX2";1622;0
"APH1A";857,666666666667;0
"APH1B";1682,5;3
"API5";1539,66666666667;3
"APIP";422;1
"APLF";1080;6
"APLN";2664;3
"APLNR";985,666666666667;1
"APLP1";347;2
"APLP2";936,833333333333;1
"APMAP";888;0
"APOA1";57;0
"APOA2";113;0
"APOA4";167;0
"APOA5";577;0
"APOB";301;1
"APOBEC1";147;1
"APOBEC2";432;1
"APOBEC3A";674,5;0
"APOBEC3B";217,5;1
"APOBEC3C";1965;2
"APOBEC3D";953;0
"APOBEC3F";1741,5;2
"APOBEC3G";322;2
"APOBEC3H";190,666666666667;0
"APOBEC4";1403;3
"APOBR";459;0
"APOC1";114;0
"APOC2";316,5;1
"APOC3";188;0
"APOC4";191;0
"APOC4-APOC2";1405;1
"APOD";195;0
"APOE";143;0
"APOF";657;2
"APOH";100;2
"APOL1";1248,6;0
"APOL2";1194,5;0
"APOL3";730,6;1
"APOL4";1390;2
"APOL5";136;1
"APOL6";8808;13
"APOLD1";3814;14
"APOM";121;0
"APOO";289;1
"APOOL";5637;19
"APP";792;5
"APPBP2";4423;13
"APPL1";2158,5;7
"APPL2";499,666666666667;1
"APRT";296;0
"APTX";590,166666666667;2
"AQP1";1793,5;4
"AQP10";845;0
"AQP11";979;1
"AQP12B";127;0
"AQP2";3273;0
"AQP3";532,5;0
"AQP4";2186,75;9
"AQP5";505;1
"AQP6";1432;2
"AQP7";637;0
"AQP8";440;0
"AQP9";1316,66666666667;2
"AQR";5010;13
"AR";2516;2
"ARAF";511,666666666667;1
"ARAP1";418;0
"ARAP2";1903;10
"ARAP3";548;1
"ARC";1551;0
"ARCN1";1299;2
"AREG";265;4
"AREL1";2464;2
"ARF1";1198,33333333333;2
"ARF3";1623;3
"ARF4";849;4
"ARF5";401;0
"ARF6";2790;6
"ARFGAP1";1876,6;1
"ARFGAP2";1182;0
"ARFGAP3";630;2
"ARFGEF1";1276;4
"ARFGEF2";3494;11
"ARFGEF3";8177;26
"ARFIP1";1186,5;3
"ARFIP2";1027;1
"ARFRP1";1381;1
"ARG1";419;1
"ARG2";788;4
"ARGFX";4022;3
"ARGLU1";2323;7
"ARHGAP1";1957;0
"ARHGAP10";695;1
"ARHGAP11A";665,5;3
"ARHGAP11B";1597;7
"ARHGAP12";2242;7
"ARHGAP15";180;0
"ARHGAP17";739;1
"ARHGAP18";2381;4
"ARHGAP19";2900,66666666667;5
"ARHGAP20";2318,4;3
"ARHGAP21";798;2
"ARHGAP22";227,75;0
"ARHGAP23";1413;4
"ARHGAP24";1463,66666666667;5
"ARHGAP25";506,25;1
"ARHGAP26";4925,66666666667;5
"ARHGAP27";843;2
"ARHGAP28";3554;15
"ARHGAP29";4964;19
"ARHGAP30";767,333333333333;0
"ARHGAP31";4450;14
"ARHGAP32";1615;5
"ARHGAP33";393;0
"ARHGAP35";3987,66666666667;3
"ARHGAP36";1098,25;3
"ARHGAP39";1243;2
"ARHGAP4";352,5;0
"ARHGAP44";1180,33333333333;2
"ARHGAP45";622;0
"ARHGAP5";1659,33333333333;9
"ARHGAP6";1104,75;2
"ARHGAP8";283,666666666667;0
"ARHGAP9";305;0
"ARHGDIA";659,8;1
"ARHGDIB";232,333333333333;1
"ARHGDIG";196;0
"ARHGEF1";363,333333333333;0
"ARHGEF10";1378;3
"ARHGEF10L";379;0
"ARHGEF11";818;0
"ARHGEF12";3600;5
"ARHGEF15";1519,5;0
"ARHGEF16";526;0
"ARHGEF17";1608;3
"ARHGEF18";1961,5;0
"ARHGEF19";733;1
"ARHGEF2";733;4
"ARHGEF25";350;0
"ARHGEF26";1985,33333333333;6
"ARHGEF28";737,6;2
"ARHGEF3";1459;3
"ARHGEF33";1604;4
"ARHGEF35";846;4
"ARHGEF37";2777;4
"ARHGEF38";1804;6
"ARHGEF39";2644;4
"ARHGEF4";1074;2
"ARHGEF40";1240;1
"ARHGEF5";576;0
"ARHGEF6";2481;2
"ARHGEF7";2254,44444444444;3
"ARHGEF9";1365,6875;3
"ARID1A";704,5;2
"ARID1B";1643;6
"ARID2";2959;9
"ARID3A";3874;4
"ARID3B";2356;2
"ARID3C";79;0
"ARID4A";1440,75;7
"ARID4B";1627,66666666667;6
"ARID5A";321;0
"ARID5B";1974;6
"ARIH1";19695;40
"ARIH2";1731;1
"ARIH2OS";489;0
"ARL1";1623;4
"ARL10";10014;20
"ARL11";2834;8
"ARL13A";243;1
"ARL13B";1871,5;12
"ARL14";523;2
"ARL14EP";1428;4
"ARL14EPL";677;5
"ARL15";2619;10
"ARL16";370;0
"ARL17A";813,2;2
"ARL17B";525,5;1
"ARL2";293,666666666667;0
"ARL2BP";1368;2
"ARL3";3163;6
"ARL4A";865,833333333333;3
"ARL4C";2866;6
"ARL4D";799;1
"ARL5A";1791;7
"ARL5B";6423;29
"ARL5C";20;0
"ARL6";1178,25;7
"ARL6IP1";944;2
"ARL6IP4";212,2;0
"ARL6IP5";1456;4
"ARL6IP6";1413;10
"ARL8A";1087,5;3
"ARL8B";2198,5;5
"ARL9";1088,5;4
"ARMC1";1935,5;4
"ARMC10";1201;4
"ARMC12";96;0
"ARMC2";960;2
"ARMC3";641,5;3
"ARMC4";298,5;2
"ARMC5";663;0
"ARMC6";470,5;0
"ARMC7";565,5;1
"ARMC8";1222,625;3
"ARMC9";1923,33333333333;1
"ARMCX1";408;1
"ARMCX2";409;1
"ARMCX3";1723,33333333333;8
"ARMCX4";349;1
"ARMCX5";339;1
"ARMCX6";592,333333333333;0
"ARMH1";188;0
"ARMH2";75;0
"ARMH3";1929;3
"ARMH4";3975;4
"ARMS2";419;0
"ARMT1";989;6
"ARNT";967,5;3
"ARNT2";4235;3
"ARNTL";507,6;0
"ARNTL2";101,4;1
"ARPC1A";333;0
"ARPC1B";275,285714285714;1
"ARPC2";437;0
"ARPC3";332;0
"ARPC4";698,333333333333;1
"ARPC5";3880;14
"ARPC5L";785;4
"ARPIN";3854,5;6
"ARPP19";1431,7;4
"ARPP21";841,769230769231;4
"ARR3";74;0
"ARRB1";3302,5;3
"ARRB2";319,875;0
"ARRDC1";222;0
"ARRDC2";1136;0
"ARRDC3";2769;8
"ARRDC4";2646;7
"ARRDC5";609;0
"ARSA";572,6;1
"ARSB";1881,5;2
"ARSD";3299;1
"ARSF";160,5;1
"ARSG";1332;5
"ARSH";186;0
"ARSI";871;0
"ARSJ";1990;9
"ARSK";1576;9
"ARSL";138;0
"ART1";227;0
"ART3";275,666666666667;0
"ART4";3802;17
"ART5";251,333333333333;0
"ARTN";366,5;2
"ARV1";600;2
"ARVCF";860;1
"ARX";976;3
"AS3MT";1199;3
"ASAH1";974,571428571429;2
"ASAH2";1561;7
"ASAH2B";2866,75;13
